country,variable,value,>=65,Total,proportion_over_65,deaths_per_million
Leastdevelopedcountries:UNclassification,Leastdevelopedcountries:UNclassification.JHU_ConfirmedDeaths.data,0.0,35744163.0,1009662578.0,0.03540208756751605,0.0
Low&middleincome,Low&middleincome.JHU_ConfirmedDeaths.data,0.0,456730553.0,6383958209.0,0.07154347476086367,0.0
Liechtenstein,Liechtenstein.JHU_ConfirmedDeaths.data,1.0,,37910.0,,26.378264310208387
Lithuania,Lithuania.JHU_ConfirmedDeaths.data,45.0,552045.0,2801543.0,0.19705033975919697,16.06257694420539
Lesotho,Lesotho.JHU_ConfirmedDeaths.data,0.0,103321.0,2108132.0,0.049010688135278056,0.0
Libya,Libya.JHU_ConfirmedDeaths.data,3.0,293325.0,6678567.0,0.0439203499792695,0.4491981588265866
Lowincome,Lowincome.JHU_ConfirmedDeaths.data,0.0,23216497.0,705417321.0,0.032911719501143355,0.0
Maldives,Maldives.JHU_ConfirmedDeaths.data,1.0,19098.0,515696.0,0.03703344606124538,1.9391269274921659
Mauritania,Mauritania.JHU_ConfirmedDeaths.data,1.0,138313.0,4403319.0,0.03141107877943888,0.22710142054209564
Malawi,Malawi.JHU_ConfirmedDeaths.data,3.0,479970.0,18143315.0,0.0264543717617205,0.1653501578956216
Mali,Mali.JHU_ConfirmedDeaths.data,26.0,478322.0,19077690.0,0.025072322697349627,1.3628484371011376
Luxembourg,Luxembourg.JHU_ConfirmedDeaths.data,92.0,86226.0,607950.0,0.1418307426597582,151.32823422978862
Madagascar,Madagascar.JHU_ConfirmedDeaths.data,0.0,784383.0,26262368.0,0.029867184863147146,0.0
Malaysia,Malaysia.JHU_ConfirmedDeaths.data,103.0,2103510.0,31528585.0,0.06671755170744263,3.2668767088659387
MarshallIslands,MarshallIslands.JHU_ConfirmedDeaths.data,0.0,,58413.0,,0.0
Mauritius,Mauritius.JHU_ConfirmedDeaths.data,10.0,145183.0,1265303.0,0.11474168637867768,7.90324530962149
Malta,Malta.JHU_ConfirmedDeaths.data,4.0,98619.0,484630.0,0.203493386707385,8.253719332274105
MiddleEast&NorthAfrica(excludinghighincome),MiddleEast&NorthAfrica(excludinghighincome).JHU_ConfirmedDeaths.data,0.0,20582368.0,382896715.0,0.05375436036321179,0.0
Mongolia,Mongolia.JHU_ConfirmedDeaths.data,0.0,129457.0,3170208.0,0.04083549092046957,0.0
Monaco,Monaco.JHU_ConfirmedDeaths.data,4.0,,38682.0,,103.40726953104803
MiddleEast&NorthAfrica(IDA&IBRDcountries),MiddleEast&NorthAfrica(IDA&IBRDcountries).JHU_ConfirmedDeaths.data,0.0,20439205.0,378327628.0,0.05402514510518381,0.0
MiddleEast&NorthAfrica,MiddleEast&NorthAfrica.JHU_ConfirmedDeaths.data,0.0,23263387.0,448912859.0,0.05182160977037194,0.0
"Micronesia,Fed","Micronesia,Fed.Sts..JHU_ConfirmedDeaths.data",0.0,,,,
Mexico,Mexico.JHU_ConfirmedDeaths.data,1972.0,9115625.0,126190788.0,0.07223684980871979,15.62713119756412
Moldova,Moldova.JHU_ConfirmedDeaths.data,122.0,310372.0,2706049.0,0.11469563189727902,45.08417992431031
Middleincome,Middleincome.JHU_ConfirmedDeaths.data,0.0,433514056.0,5678540888.0,0.07634250849828521,0.0
Montenegro,Montenegro.JHU_ConfirmedDeaths.data,7.0,93178.0,622227.0,0.14974920728287264,11.249913616734728
Myanmar,Myanmar.JHU_ConfirmedDeaths.data,6.0,3106838.0,53708395.0,0.057846413023513364,0.11171437910218691
Netherlands,Netherlands.JHU_ConfirmedDeaths.data,4909.0,3307816.0,17231624.0,0.19196194160225408,284.8831891875078
Mozambique,Mozambique.JHU_ConfirmedDeaths.data,0.0,852659.0,29495962.0,0.028907651833834067,0.0
Nicaragua,Nicaragua.JHU_ConfirmedDeaths.data,3.0,339278.0,6465513.0,0.052475031756954164,0.4640003043841997
Morocco,Morocco.JHU_ConfirmedDeaths.data,171.0,2526689.0,36029138.0,0.0701290438866453,4.7461585120354535
Niger,Niger.JHU_ConfirmedDeaths.data,33.0,582396.0,22442948.0,0.025950066809404898,1.4703950657462648
Namibia,Namibia.JHU_ConfirmedDeaths.data,0.0,89019.0,2448255.0,0.03636018306916559,0.0
Nauru,Nauru.JHU_ConfirmedDeaths.data,0.0,,12704.0,,0.0
Nepal,Nepal.JHU_ConfirmedDeaths.data,0.0,1608781.0,28087871.0,0.0572767156328794,0.0
NewZealand,NewZealand.JHU_ConfirmedDeaths.data,20.0,757734.0,4841000.0,0.1565242718446602,4.131377814501136
Pakistan,Pakistan.JHU_ConfirmedDeaths.data,417.0,9152355.0,212215030.0,0.04312774170613646,1.9649880595168023
NorthMacedonia,NorthMacedonia.JHU_ConfirmedDeaths.data,81.0,284744.0,2082958.0,0.13670174818695335,38.88700588297988
OECDmembers,OECDmembers.JHU_ConfirmedDeaths.data,0.0,223146231.0,1303529456.0,0.17118618223231005,0.0
Pacificislandsmallstates,Pacificislandsmallstates.JHU_ConfirmedDeaths.data,0.0,106937.0,2457367.0,0.04351690244070178,0.0
Norway,Norway.JHU_ConfirmedDeaths.data,210.0,905640.0,5311916.0,0.17049215386689096,39.53375768743331
Notclassified,Notclassified.JHU_ConfirmedDeaths.data,0.0,,,,
Othersmallstates,Othersmallstates.JHU_ConfirmedDeaths.data,0.0,1687570.0,30758989.0,0.054864286989406576,0.0
Nigeria,Nigeria.JHU_ConfirmedDeaths.data,68.0,5381418.0,195874740.0,0.027473772268951067,0.34716063949848763
NorthAmerica,NorthAmerica.JHU_ConfirmedDeaths.data,0.0,58103481.0,364290258.0,0.15949776235849822,0.0
Oman,Oman.JHU_ConfirmedDeaths.data,11.0,115559.0,4829483.0,0.02392782001717368,2.2776765132002743
PapuaNewGuinea,PapuaNewGuinea.JHU_ConfirmedDeaths.data,0.0,296511.0,8606316.0,0.03445272053687083,0.0
Panama,Panama.JHU_ConfirmedDeaths.data,192.0,338524.0,4176873.0,0.08104723318137755,45.967401929625346
Philippines,Philippines.JHU_ConfirmedDeaths.data,579.0,5463318.0,106651922.0,0.0512256872407794,5.4288754402381985
Post-demographicdividend,Post-demographicdividend.JHU_ConfirmedDeaths.data,0.0,210394622.0,1109997273.0,0.18954517017088204,0.0
Poland,Poland.JHU_ConfirmedDeaths.data,651.0,6652347.0,37974750.0,0.17517816443821224,17.1429699998025
Palau,Palau.JHU_ConfirmedDeaths.data,0.0,,17907.0,,0.0
Paraguay,Paraguay.JHU_ConfirmedDeaths.data,10.0,447290.0,6956071.0,0.06430210387444292,1.4375931470509717
Pre-demographicdividend,Pre-demographicdividend.JHU_ConfirmedDeaths.data,0.0,25320915.0,919485393.0,0.02753813730241607,0.0
Peru,Peru.JHU_ConfirmedDeaths.data,1124.0,2587417.0,31989256.0,0.0808839380321943,35.136797179653065
Portugal,Portugal.JHU_ConfirmedDeaths.data,1007.0,2257696.0,10283822.0,0.2195386112283935,97.92079248357274
Romania,Romania.JHU_ConfirmedDeaths.data,744.0,3569838.0,19466145.0,0.18338700343596537,38.22020230507889
SaoTomeandPrincipe,SaoTomeandPrincipe.JHU_ConfirmedDeaths.data,1.0,6174.0,211028.0,0.029256781090660954,4.738707659647061
Qatar,Qatar.JHU_ConfirmedDeaths.data,12.0,38111.0,2781677.0,0.013700728014072086,4.313944429924826
Rwanda,Rwanda.JHU_ConfirmedDeaths.data,0.0,361455.0,12301939.0,0.029381953527813785,0.0
SaintVincentandtheGrenadines,SaintVincentandtheGrenadines.JHU_ConfirmedDeaths.data,0.0,10569.0,110210.0,0.09589873877143634,0.0
SanMarino,SanMarino.JHU_ConfirmedDeaths.data,41.0,,33785.0,,1213.556311972769
Samoa,Samoa.JHU_ConfirmedDeaths.data,0.0,9415.0,196130.0,0.04800387498088003,0.0
Russia,Russia.JHU_ConfirmedDeaths.data,1169.0,21201732.0,144478050.0,0.14674708026582584,8.091194475562205
SaintKittsandNevis,SaintKittsandNevis.JHU_ConfirmedDeaths.data,0.0,,52441.0,,0.0
SaintLucia,SaintLucia.JHU_ConfirmedDeaths.data,0.0,17837.0,181889.0,0.09806530356426171,0.0
Singapore,Singapore.JHU_ConfirmedDeaths.data,16.0,646383.0,5638676.0,0.11463382538737817,2.837545551473431
SaudiArabia,SaudiArabia.JHU_ConfirmedDeaths.data,169.0,1116846.0,33699947.0,0.03314088298121062,5.0148446820999455
Senegal,Senegal.JHU_ConfirmedDeaths.data,9.0,489396.0,15854360.0,0.030868228045786775,0.5676671906024588
Seychelles,Seychelles.JHU_ConfirmedDeaths.data,0.0,7349.0,96762.0,0.07594923627043675,0.0
SolomonIslands,SolomonIslands.JHU_ConfirmedDeaths.data,0.0,23496.0,652858.0,0.035989449466805955,0.0
Slovakia,Slovakia.JHU_ConfirmedDeaths.data,23.0,851289.0,5446771.0,0.15629241618566303,4.22268533044624
Slovenia,Slovenia.JHU_ConfirmedDeaths.data,92.0,406626.0,2073894.0,0.19606884440574107,44.360994342044485
Serbia,Serbia.JHU_ConfirmedDeaths.data,179.0,1281014.0,6982604.0,0.18345791913733042,25.635135545421164
SierraLeone,SierraLeone.JHU_ConfirmedDeaths.data,7.0,226946.0,7650154.0,0.029665546602068403,0.915014259843658
Smallstates,Smallstates.JHU_ConfirmedDeaths.data,0.0,2430937.0,40575321.0,0.05991171332939054,0.0
SouthAsia,SouthAsia.JHU_ConfirmedDeaths.data,0.0,105970472.0,1814388744.0,0.05840560483547621,0.0
Sub-SaharanAfrica,Sub-SaharanAfrica.JHU_ConfirmedDeaths.data,0.0,32216623.0,1078306520.0,0.029877054809981117,0.0
SriLanka,SriLanka.JHU_ConfirmedDeaths.data,7.0,2269547.0,21670000.0,0.10473221042916474,0.3230272265805261
SouthAfrica,SouthAfrica.JHU_ConfirmedDeaths.data,116.0,3072723.0,57779622.0,0.05318004676458423,2.0076282257436713
Sub-SaharanAfrica(excludinghighincome),Sub-SaharanAfrica(excludinghighincome).JHU_ConfirmedDeaths.data,0.0,32209274.0,1078209758.0,0.029872920144727536,0.0
SouthAsia(IDA&IBRD),SouthAsia(IDA&IBRD).JHU_ConfirmedDeaths.data,0.0,105970472.0,1814388744.0,0.05840560483547621,0.0
Sub-SaharanAfrica(IDA&IBRDcountries),Sub-SaharanAfrica(IDA&IBRDcountries).JHU_ConfirmedDeaths.data,0.0,32216623.0,1078306520.0,0.029877054809981117,0.0
Somalia,Somalia.JHU_ConfirmedDeaths.data,28.0,431231.0,15008154.0,0.02873311401255611,1.8656524979687708
SouthSudan,SouthSudan.JHU_ConfirmedDeaths.data,0.0,373015.0,10975920.0,0.03398485047267109,0.0
Spain,Spain.JHU_ConfirmedDeaths.data,24543.0,9068471.0,46796540.0,0.19378507470851478,524.4618512394293
Sweden,Sweden.JHU_ConfirmedDeaths.data,2653.0,2044763.0,10175214.0,0.200955282119865,260.7316170451059
Togo,Togo.JHU_ConfirmedDeaths.data,9.0,226375.0,7889094.0,0.028694676473622952,1.1408154092218954
Sudan,Sudan.JHU_ConfirmedDeaths.data,36.0,1496980.0,41801533.0,0.0358116052825144,0.8612124344817689
Tanzania,Tanzania.JHU_ConfirmedDeaths.data,16.0,1465009.0,56318348.0,0.026012996688042057,0.2840992423996528
Timor-Leste,Timor-Leste.JHU_ConfirmedDeaths.data,0.0,54732.0,1267972.0,0.04316499102503841,0.0
Suriname,Suriname.JHU_ConfirmedDeaths.data,1.0,39780.0,575991.0,0.06906357911842373,1.7361382382710842
Thailand,Thailand.JHU_ConfirmedDeaths.data,54.0,8262614.0,69428524.0,0.1190089249196771,0.7777783090995857
Switzerland,Switzerland.JHU_ConfirmedDeaths.data,1754.0,1585437.0,8513227.0,0.18623220078590644,206.03233063091116
Syria,Syria.JHU_ConfirmedDeaths.data,3.0,761311.0,16906283.0,0.04503124666728932,0.17744882183741986
Tajikistan,Tajikistan.JHU_ConfirmedDeaths.data,0.0,275017.0,9100837.0,0.03021886887986237,0.0
Turkey,Turkey.JHU_ConfirmedDeaths.data,3258.0,6983357.0,82319724.0,0.08483212358680892,39.577392169099106
UnitedKingdom,UnitedKingdom.JHU_ConfirmedDeaths.data,27583.0,12225956.0,66460344.0,0.18395866262744592,415.0294497422403
